frowning,fraʊnɪɳ
sideline,saɪdlaɪn
yielder,jildɜ
zizania aquatica,zizɑniʌkwɑtɪkʌ
orange-brown,ɔrʌndʒbraʊn
rhus dermatitis,rusdɜmʌtaɪtɪs
john dewey,dʒɑndui
marumi,mɑrumi
monoblast,mʌnɑblæst
imperious,ɪmpɪriʌs
spiraea prunifolia,spɪriʌprunʌfoʊliʌ
rotisserie,roʊtɪsɜi
at the most,æθɪmoʊst
eccyesis,ɛkʌaɪisɪs
aesthesia,ɛsθiʒʌ
extraneous,ɛkstreɪniʌs
apple of discord,æplʌvdɪskɔrd
false alumroot,fɔlsʌlʌmrut
lewis and clark expedition,luɪsændklɑrkɛkspʌdɪʃʌn
machine-oriented language,mæʃʌniɔriɛntɪdlæɳgwʌdʒ
wood-frog,wʊdfrɔg
preoperative,priɔpʌrʌtɪv
coreopsis gigantea,kɔriɑpsɪsgigɑntiʌ
james edward meade,dʒeɪmzdwɔrdmid
millettia,mʌlɛtiʌ
andre maginot,ændrimædʒɪnɑ
piston chamber,pɪstɑntʃeɪmbɜ
sacramental manduction,sækrʌmʌntʌlmʌndʌkʃʌn
pigs' feet,pɪgsɪfit
headshot,hɛdʃɑt
aesthesis,ɛsθɛsɪs
auriculated,ɔrɪkjʌleɪtɪd
guillaume de grimoard,gɪlaʊmdɪgraɪmɔrd
erethizon,ɜiθɪzʌn
ogle,oʊgʌl
he-goat,hɛgoʊt
export credit,ɛkspɔrtkrɛdɪt
michigander,mɪʃɪgændɜ
bracketed blenny,brækɪtɪdblɛni
cultivation,kʌltɪveɪʃʌn
dully,dʌli
target range,tɑrgʌtreɪndʒ
every quarter,ɛvriwkwɔrtɜ
rose geranium,roʊzgɜeɪniʌm
anomalousness,ʌnɑmʌlʌsnʌs
augustin jean fresnel,ɑgʌstɪndʒʌnfrɛznʌl
bay state,beɪsteɪt
causerie,kɔzɜi
handle-bars,hændʌlbɑrz
beta blocker eyedrop,bɛtʌblɑkɜidrɑp
center on,sɛntɜɑn
tilia,tɪljʌ
faecalith,fikælɪθ
pecos river,pɛkʌsraɪvɜ
insincere,ɪnsɪnsɪr
japanese lime,dʒæpʌnizlaɪm
galena,gʌlinʌ
headship,hɛdʃɪp
noncom,nɑnkʌm
driftfish,drɪftfɪʃ
keep pace,kippeɪs
sense of touch,sɛnsiɔftʌtʃ
family anguidae,fæmʌljʌɳgwʌdaɪ
myriapod,mɪriʌpɑd
mudwrestle,mʌdwrɛsʌl
compositor,kʌmpɑzɪtɜ
moschus,moʊskʌs
weldment,wɛldmʌnt
tarsiidae,tɑrsideɪ
herpestes nyula,hɜpʌstsnjulʌ
bursting explosive,bɜstɪɳʌksploʊsɪv
storehouse,stɔrhaʊs
middle term,mɪdʌltɜm
soloist,soʊloʊʌst
auricular point,aʊrɪkjʌlɛrpɔɪnt
marrubium vulgare,mɑrubiʌmvʌlgɛr
karl czerny,kɑrltʃɜni
polyvinyl resin,pɑlivaɪnʌlrɪsɪn
noncontroversial,nɑnkɑntrʌvɜʃʌl
cross-questioner,krɔskwɛstʃʌnɜ
fidelity,fʌdɛlʌti
tilde,tɪldʌ
american plaice,ʌmɛrʌkænpleɪs
angola,æɳgoʊlʌ
sennacherib,sɛnʌtʃɛrɪb
pacific northwest,pʌsɪfɪknɔrθwɛst
improper fraction,ɪmprɑpɜfrækʃʌn
chelydra serpentina,ʃɪlaɪdrʌsɜpʌntinʌ
nonkosher,nɑnkɑʃɜ
anatoli yevgenevich karpov,ænʌtoʊlijɛvgɛnɪvɪtʃkɑrpɑv
case-hardened,keɪshɑrdʌnd
outfitting,aʊtfɪtɪɳ
rentier,rɛtiɜ
neostigmine,nioʊstɪgmaɪn
lay reader,leɪrɛdɜ
rainless,reɪnlʌs
palmy,pɑmi
tiled,taɪld
toilsome,tɔɪlsʌm
nederland,nɛdɜlænd
nightshirt,naɪtʃɜt
ironmonger,aɪrʌnmʌɳgɜ
mallee hen,mæliʌn
prowl car,praʊlkɑr
admittance,ʌdmɪtʌns
oculopharyngeal muscular dystrophy,ɔkjulɑfɜɪɳgɪɑmʌskjʌlɜdɪstrʌfi
external maxillary artery,ɛkstɜnælmæksʌlɛrjɑrtɜi
rockweed,rɑkwid
rock-steady,rɑkstɛdi
arrow-shaped,æroʊʃeɪpt
self-aggrandizement,sɛlfʌgrʌndaɪzmʌnt
isotonic exercise,aɪsʌtɑnɪtʃɛksɜsaɪz
mollification,mɑlʌfʌkeɪʃʌn
payne's gray,peɪnzgreɪ
free-swimming,friswɪmɪɳ
mystic jewel,mɪstɪkjuʌl
kunzite,kʌnzaɪt
garfield,gɑrfild
take place,teɪkpleɪs
george washington bridge,dʒɔrdʒwɑʃɪɳtʌnbrɪdʒ
testicular cancer,tɛstɪkjʌlɜkænsɜ
eurasian green toad,jʊreɪʒɪngrintoʊd
exosphere,ɛksʌsfɪr
put in,putɪn
literary criticism,lɪtɜɛrikrɪtɪsɪzʌm
supernova,supɜnoʊvʌ
violet-coloured,vaɪʌlʌtkʌlɜd
brokenheartedness,broʊkʌnhɑrtɪdnʌs
morchella esculenta,mɔrkɪlɛskulʌntʌ
greyish-white,greɪɪʃwaɪt
conciliative,kʌnsɪlieɪtɪv
exoticism,ɪgzɑtɪsɪzʌm
paul vernier,paʊlvɜniɜ
deep-chested,diptʃɛstɪd
beneficent,bʌnɛfʌsʌnt
treed,trid
10,stɛn
11,ɛfʌn
transship,trænʃɪp
12,ɛftu
13,ɛfri
14,ɛfɔr
koran,kɔrɑn
15,ɛfwʌ
16,ɛfks
17,ʌn
carpenter bee,kɑrpʌntɜbi
hamster,hæmstɜ
18,ɛfɪt
19,ɛfɪn
bankia setaceae,bæɳkaɪʌsɪteɪʃʌ
hijacking,haɪdʒækɪɳ
sodium fluoride,soʊdiʌmflʊraɪd
over-embellished,oʊvɜɛmbɛlɪʃt
vastly,væstli
sapota,sɑpoʊtʌ
genus styrax,dʒɛnjʌstaɪræks
myristic acid,maɪrɪstʌkæsʌd
anorthography,ænɔrθɑgrʌfi
sapote,sʌpoʊt
erythema nodosum,ɛrɪθʌmʌnɑdʌsʌm
alternator,ɔltɜneɪtɜ
sewage disposal plant,suʌdʒidɪspoʊzʌlplænt
ambulacral,æmbjʌlʌkrʌl
opalescent,oʊpʌlɛsʌnt
20,tuɛn
townsendia,taʊnzʌndiʌ
21,uwʌn
ogre,oʊgɜ
22,tutu
laburnum,lɑbɜnʌm
23,turi
24,tuɔr
evangelicalism,ivændʒɛlɪkʌlɪzʌm
saxe-gothea,sæksʌgɑθiʌ
25,tuɪv
26,tuks
27,tu
28,uɛɪt
namedrop,neɪmdrɑp
29,tuɪn
false asphodel,fɔlsisfoʊdɛl
alderman,ɔldɜmʌn
glen gebhard,glɛngɛbhɜd
pseudococcidae,sudʌkɔksʌdaɪ
freighter,freɪtɜ
fuel line,fjuʌlin
30,riɛn
irish pound,aɪrɪʃpaʊnd
31,riʌn
warbler,wɔrblɜ
weak force,wikfɔrs
32,ritu
33,riri
tusked,tʌskt
34,riɔr
35,riɪv
atrocity,ʌtrɑsʌti
36,riks
childhood,tʃaɪldhʊd
37,ri
38,riɪt
39,riɪn
accessory vertebral vein,æksɛsɜivɜtʌbrʌlveɪn
elaeagnus,ɪlæaægnʌs
staghorn sumac,stæghɔrnzumæk
bugologist,bjugɔlʌdʒɪst
islets of langerhans,aɪlɪtsoʊfleɪɳgɜhʌnz
grotesqueness,groʊtɛsknʌs
red sanderswood,rɛdsændɜswʊd
north island edelweiss,nɔrθɪslændɪdʌlvaɪs
scincella,sɪntʃɛlʌ
2d,tud
inspire,ɪnspaɪr
flood plain,flʌdpleɪn
progress,prɑgrɛs
market town,mɑrkʌttaʊn
40,fɔɛn
silver wedding anniversary,sɪlvɜwɛdɪɳʌnʌvɜsɜi
41,fɔʌn
42,fɔtu
aromatic compound,ɛrʌmætɪkɑmpaʊnd
43,fɔri
44,fɔɔr
national socialist german workers' party,næʃʌnælsoʊʃʌlʌstgɜmænwɜkɜzpɑrti
45,fɔɪv
delectable,dɪlɛktʌbʌl
treat,trit
46,fɔks
47,ɔr
series circuit,sɪrisɜkʌt
48,fɔɪt
genus brugmansia,dʒinʌsbrʌgmʌnsiʌ
49,fɔɪn
orthotomus sutorius,ɔrθʌtɑmʌsutɔriɪs
sitophylus,sɪtɔfʌlʌs
david garrick,deɪvɪdʒɛrɪk
band-tailed pigeon,bændteɪldpɪdʒʌn
lesvos,lɛsvoʊs
3d,rid
dasyurus quoll,dæsiʊrʌskwoʊl
nominate,nɑmʌnʌt
tread,trɛd
korda,kɔrdʌ
imperil,ɪmpɛrʌl
dumas,dumʌz
sweet white violet,switwaɪtvaɪʌlɪt
get under one's skin,gʌtʃʌndɜoʊnizskɪn
50,wʌɛn
51,wʌʌn
52,wʌtu
field sport,fildspɔrt
53,wʌri
woodbury,wʊdbɛri
54,wʌɔr
55,wʌɪv
56,wʌks
57,ɪv
remember oneself,rɪmɛmbɜoʊneɪsɛlf
58,wʌɪt
59,wʌɪn
genus collocalia,dʒɛnjʌskɑlʌkeɪljʌ
apportioned,ʌpɔrʃʌnd
audio-lingual,ɔdioʊlɪɳgwʌl
seedy,sidi
toga virilis,toʊgʌvɪrʌlɪs
bottlebrush,bɑtʌlbrʌʃ
korea,kɔriʌ
ferromagnetic,fɛroʊmægnɛtɪk
paleoanthropological,peɪlioʊænθrʌpʌlɑdʒɪkʌl
60,ksɛn
tyrosine,taɪroʊsini
61,ksʌn
fossilology,fɑsʌlɑlʌdʒi
62,kstu
63,ksri
64,ksɔr
bill of lading,bɪloʊfleɪdɪɳ
65,ksɪv
66,ksks
anabolic steroid,ænʌbɑlɪkstɛrɔɪd
67,ks
68,ksɪt
69,ksɪn
sweetleaf family,switliffæmʌli
channel capacity,tʃænʌlkʌpæsʌti
triaenodon,traɪænɑdʌn
setaria italica,sɛtɑriɑɪtɑlɪkʌ
phocoena,fɑkɑinʌ
auction,ɔkʃʌn
ephemeropteran,ɪfɛmɜɑptɜʌn
inverse cotangent,ɪnvɜsɛkʌtændʒʌnt
money cowrie,mʌnikɔri
uneven,ʌnivʌn
70,ɛn
conurbation,kɑnɜbeɪʃʌn
71,ʌn
murkiness,mɜkinʌs
72,tu
magnetic moment,mægnʌtʌkmɑmʌnt
73,ri
cordate,kɔrdeɪt
74,ɔr
75,ɪv
76,ks
78,ɪt
79,ɪn
erica cinerea,ɛrɪkʌsɪnɪriʌ
miles dewey davis jr.,maɪlsduideɪvɪsdʒɜ
westinghouse,wɛstɪɳhaʊs
erica vagans,ɛrɪkʌveɪgʌnz
genus clematis,dʒɛnjʌsklɛmʌtɪs
ball nettle,bɔlnɛtʌl
brotherly love,brʌðɜlɪlʌv
coast range,koʊstreɪndʒ
80,ɪtɛn
abacus,æbʌkʌs
81,ɪtʌn
82,ɪttu
83,ɪtri
84,ɪtɔr
85,fɑɪv
86,ɪtks
87,ɪt
bermuda rig,bɜmjudærɪg
88,ɪtɪt
89,ɪtɪn
trend,trɛnd
fratercula corniculata,frætɜkjʌlʌkɔrnɪkjʌlʌtʌ
giannangelo braschi,dʒɑnɑɳgɛloʊbrʌski
family oriolidae,fæmʌljɔriɔlɪdeɪ
reception desk,rɪsɛpʃʌndɛsk
submarine pitch,sʌbmɜinpɪtʃ
90,ɪnɛn
bacteriemia,bæktɪrimiʌ
91,ɪnʌn
directional antenna,dɜɛkʃʌnʌlɑntɛnʌ
92,ɪntu
93,ɪnri
94,ɪnɔr
95,ɪnɪv
96,ɪnks
97,ɪn
98,ɪnɪt
medusoid,mʌdusɔɪd
nonviolence,nɑnvaɪʌlʌns
99,ɪnɪn
electronic foetal monitor,ɪlɛktrɑnɪsfoʊtɔlmɑnʌtɜ
ice floe,aɪsfloʊ
wring out,rɪɳgaʊt
gymnosporangium,dʒɪmnɑspɜændʒiʌm
allotrope,ælʌtroʊp
galvani,gɑlvɑni
allegement,ʌlɛdʒmʌnt
zonk out,zɔɳkaʊt
chiliast,tʃɪliæst
renting,rɛntɪɳ
cod oil,kʌdɔɪl
doris lessing,dɔrɪslɛsɪɳ
playoff,pleɪɔf
masquerade costume,mæskɜeɪdʌkɔstum
leonid brezhnev,liʌnɪdbrɛznʌv
trent,trɛnt
transferrable,trænsfɜʌbʌl
philatelical,fɪlʌtɛlʌkʌl
earless,ɪrlʌs
cover slip,kʌvɜslɪp
madeira cake,mʌdɪrʌkeɪk
casein paint,keɪsinpeɪnt
acropetal,ʌkrɑpitʌl
forehead,fɔrhɛd
senefelder,sɛnɪfɛldɜ
ski trail,skɪtreɪl
epiphyte,ɪpɪfaɪt
shanghaier,ʃæɳhaɪr
pillager,pɪlɪdʒɜ
unwise,ʌnwaɪz
chiliasm,tʃɪliæzʌm
massasoit,mæsʌsɔɪt
allotropy,ʌlɑtrʌpi
solitude,sɑlʌtud
correctional rehabilitation,kɜɛkʃʌnælrihʌbɪlʌteɪʃʌn
sandro botticelli,sændroʊboʊtitʃɛli
kinetic energy,kʌnɛtɪsɛnɜdʒi
playing area,pleɪɪɳgɜiʌ
black archangel,blækɜtʃeɪndʒʌl
meissner,maɪsnɜ
deerberry,dɪrbɛri
ibda-c,aɪbdæk
unwire,ʌnwaɪr
salix nigra,sælɪksnʌgrʌ
pynchon,pɪntʃʌn
genus argyroxiphium,dʒɛnjʌsɑrdʒɪrɑksʌfiʌm
prize ring,prɪzɜɪɳ
sprachgefuhl,sprækgɪfʌl
oat cell carcinoma,oʊtsɛlkɑrsʌnoʊmʌ
escort,ɛskɔrt
chachalaca,tʃɑtʃʌlækʌ
lampshell,læmpʃɛl
tree heath,trihiθ
windward islands,wɪndwɜdɪslʌndz
post-menopause,poʊstmɛnʌpaʊz
feculence,fɛkjʌlʌns
great skua,greɪtskuʌ
first mortgage,fɜstmɔrgʌdʒ
jacqueline cochran,dʒækwʌlɪnkɑkrʌn
anabrus simplex,ænʌbrʌsɪmplɛks
spotlessly,spɑtlʌsli
dress out,drɛsut
tusker,tʌskɜ
block vote,blɑkvoʊt
friendship plant,frɛndʃɪpʌlɔnt
interrogatory,ɪntɛrɑgʌtɔri
skeleton in the closet,skɛlʌtʌnɪnθklɔsɛt
ragnar frisch,rɑgnɑrfrɪʃ
flagellation,flædʒʌleɪʃʌn
emile gaboriau,ɛmʌlgeɪbɜioʊ
on the road,ɑnθɪroʊd
pink bollworm,pɪɳkbɔlwɜm
enshroud,ɪnʃraʊd
lesser burdock,lɛsɜbɜdʌk
honored,ɑnɜd
honoree,ɑnɜi
oengus,oʊɳgʌs
viola odorata,vioʊlaʊdɔrɑtʌ
genus sitta,dʒɛnʌsitʌ
perognathus flavescens,pɛroʊgnʌθusflævɛsɪnz
unwind,ʌnwaɪnd
kitchen utensil,kɪtʃʌnutɛnsʌl
sojourn,soʊdʒɜn
unemotional person,ʌnɪmoʊʃʌnælpɜsʌn
american stock exchange,ʌmɛrɪkʌnstɑkɛkstʃeɪndʒ
virago,vɪrɑgoʊ
genus maeandra,dʒɛnjʌsmiændrʌ
umbilical cord,ʌmbɪlɪkælkɔrd
gilt-edged,gɪltɛdʒd
genus rosmarinus,dʒɛnjʌɪrzmɜinʌs
genus elops,dʒɛnjʌsɛlʌps
martyr,mɑrtɜ
trema,trɛmʌ
thin-shelled mussel,θɪnʃʌldmʌsʌl
heft up,hɛftʌp
matrix addition,meɪtrɪksædɪʃʌn
dracocephalum,dreɪkoʊsɛfʌlʌm
genus coccothraustes,dʒɛnjʌskoʊkoʊθrɔsts
religious sect,rɪlɪdʒʌssɛkt
may blob,meɪblɑb
frederick,frɛdrɪk
entelea,ɛnteɪleɪ
genus embothrium,dʒɛnjʌsɪbɑθriʌm
unmalted,ʌnmæltɪd
thermal resistor,θɜmʌlrɪzɪstɜ
low-down,loʊdaʊn
starchlike,stɑrtʃlaɪk
candelilla wax,kɑndɛlʌlʌwæks
horsebean,hɔrsbin
bricklayer's hammer,brɪkleɪɜzhæmɜ
dragon's mouth,drægʌnʌzmʌθ
spiffed up,spɪfdʌp
temporary,tɛmpɜɛri
youth crusade,juθkruseɪd
contour language,kɑntʊrlæɳgwʌdʒ
buphthalmum,bufθælmʌm
frank cooper,fræɳkkupɜ
trichophaga tapetzella,traɪkɑfʌgɑtʌpɛtzɛlʌ
causal agency,kɔzælʌdʒʌnsi
hollowness,hɑloʊnʌs
paleocortex,peɪlioʊkɔrtɛks
digitise,dɪdʒʌtaɪz
family loganiaceae,fæmʌlʌloʊgɑniɑtʃeɪɑ
36th,riksθ
palm family,pɑmfæmʌli
pectin,pɛktʌn
body temperature,bɑditɛmprʌtʃɜ
kilometres per hour,kɪlɔmʌtɜzpɜhaʊɜ
pectic,pɛktɪk
claude bernard,klɔdɪbɜnɑrd
true sparrow,truɪspɛroʊ
greenish blue,grinɪʃblu
hermit,hɜmʌt
genus chateura,dʒɛnjʌskʌtʊrʌ
hand axe,hændæks
whalesucker,weɪlsʌkɜ
electronic manipulative deception,ɪlɛktrɑnɪkmʌnɪpjʌleɪtɪvdɪsɛpʃʌn
rudolf steiner,rudɑlfstaɪnɜ
predestinarian,pridɛstʌnɛriʌn
water shamrock,wɔtɜʃæmrɑk
arbutus,ɑrbʌtʌs
petromyzontidae,pɛtroʊmaɪzɑntɪdeɪ
cnidosporidia,siɛnɪdoʊspɔrɪdiʌ
thaumaturgist,ðɔmʌtɜdʒɪst
planning,plænɪɳ
staunch,stɔntʃ
sickness benefit,sɪknʌsbɛnʌfɪt
metabolically,mɛtʌbɑlɪkʌli
flirt,flɜt
sooty-black,sutiblæk
guest night,gɛstnaɪt
retroactive,rɛtroʊæktɪv
die hard,daɪhɑrd
clitoridectomy,klaɪtɔrɪdɛktʌmi
cocteau,kɑktoʊ
forty-third,fɔrtɪθɜd
reflex camera,riflɛkskʌmɛrʌ
interest rate,ɪntɜʌstreɪt
bacteroid,bæktɪrɔɪd
pare down,pɜdaʊn
quarterback,kwɔrtɜbæk
ambulacrum,æmbjʌlʌkrʌm
capital of turkey,kæpɪtʌlɔftɜki
obelisk,oʊbɛlisk
sayers,seɪɜz
kerbela,kɜbɪlʌ
cantharellus clavatus,kænθʌrɛlʌsklɑvʌtʌs
greater celandine,greɪtɜsɛlʌndaɪn
naturalize,nætʃɜʌlaɪz
tailstock,teɪlstɑk
diploic vein,dɪplɔɪsveɪn
previse,privaɪz
cultivated,kʌltɪveɪtɪd
yangon,jæɳgʌn
chelydra,ʃɪlaɪdrʌ
orchiectomy,ɔrkiɛktʌmi
antidepressant,æntidɪprɛsʌnt
zooplankton,zuplæɳktʌn
genus gymnocladus,dʒɛnjʌsgaɪmnʌkleɪdʌs
second wind,sɛkʌndwɪnd
fnma,fnmʌ
fortunella,fɔrtunɛlʌ
candy kiss,kændɪkɪs
begonia erythrophylla,bɪgoʊnjɑriθrʌfɪlʌ
fork-like,fɔrklaɪk
wraith,reɪθ
unelaborated,ʌnɪlæbɜeɪtɪd
tearing,tɛrɪɳ
gold-tail moth,goʊldteɪlmʌθ
eugenia corynantha,judʒiniækɜɪnænθʌ
genus casuarina,dʒɛnjʌskeɪswɑrinʌ
falciform ligament,fælsʌfɔrmlɪgʌmʌnt
crash programme,kræʃproʊgræm
ohio,oʊhaɪoʊ
fling,flɪɳ
astigmia,ʌstɪgmiʌ
civil marriage,sʌvɪlmɛrɪdʒ
satyrical,seɪtɪrɪkʌl
grey friar,greɪfraɪɜ
bifurcation,bɪfɜkeɪʃʌn
circumstantiate,sɜkʌmstænʃieɪt
rotator cuff,roʊteɪtɜkʌf
genus saccharomyces,dʒɛnjʌsækɜoʊmaɪsiz
phyllocladus trichomanoides,fɪlʌkleɪdʌstrɪkoʊmʌnɔɪdz
countywide,kaʊntiwaɪd
embolectomy,ɛmboʊlɛktʌmi
leading indicator,lidɪɳɪndʌkeɪtɜ
bernhardt,bɜnhɑrt
selcraig,sɛlkreɪg
fenestra ovalis,fɛnɛstrʌoʊvɑlɪs
fullback,fʊlbæk
fuchs,fjuks
genus stenochlaena,dʒɛnjʌstinʌkleɪnʌ
venae renis,vɛnɛrɛnɪs
xor gate,ɛksɜgeɪt
john trumbull,dʒɑntrʌmbʌl
family balaenopteridae,fæmʌlɪbʌlænɑptɜaɪdeɪ
o.e.d.,oʊd
ripsaw,rɪpsɔ
flint,flɪnt
crawling,krɔlɪɳ
acculturative,ʌkʌltʃɜʌtɪv
religious leader,rɪlɪdʒʌslidɜ
field-sequential color tv system,fildsʌkwɛnʃʌlkʌlɜtvsɪstʌm
ethical code,ɛθɪkælkoʊd
aid station,eɪdsteɪʃʌn
republic of honduras,ripʌblɪkɔfhɑndʊrʌs
etodolac,itʌdɔlæk
periactin,pɛriæktʌn
andrew huxley,ændruhʌksli
six nations,sɪksneɪʃʌnz
24-karat gold,tufɔkɜʌtgoʊld
igigi,ɪgidʒi
nighthawk,naɪthɔk
big-shouldered,bɪgʃoʊldɜd
leacock,likɑk
onion stem,ʌnjʌnstɛm
obelion,oʊbɛliɑn
periclase,pɜɪkleɪs
neuropil,nʊroʊpʌl
moo goo gai pan,mugugeɪpʌn
coast boykinia,koʊstbɔɪkɪniʌ
shovel in,ʃʌvʌlʌn
wordiness,wɜdinʌs
idiopathic disorder,ɪdioʊpæθʌkdɪsɔrdɜ
upper crust,ʌpɜkrʌst
berkeley,bɜkli
betray,bɪtreɪ
iris germanica,aɪrʌsgɜmænɪkʌ
linguistic context,lɪɳgwɪstɪkoʊntɛkst
ovariectomy,oʊvɛriɛktʌmi
trier,traɪɜ
decorate,dɛkɜeɪt
newspeak,nuspik
occupation,ɑkjʌpeɪʃʌn
perviousness,pɜviʌsnʌs
purple-eyed,pɜpʌlaɪd
mishnaic,mɪʃneɪɪk
mohammedanism,moʊhɑmɛdʌnɪzʌm
motherfucker,mʌðɜfʌkɜ
genus maranta,dʒɛnjʌsmɑrɑntʌ
rub down,rʌbdaʊn
showy goldenrod,ʃoʊigoʊldʌnrɑd
tried,traɪd
whipping cream,wɪpɪɳkrim
combinational,kɑmbʌneɪʃʌnʌl
penstemon rupicola,pɛnztʌmɑnrupikoʊlʌ
camper trailer,kæmpɜtreɪlɜ
herman,hɜmʌn
outbreak,aʊtbreɪk
uncongeniality,ʌnkʌndʒiniælʌti
get hold,gɛθoʊld
california sea lion,kælɪfɔrnjʌzieɪljʌn
edmund ironside,ɛdmʌndɜɑnsaɪd
laying on of hands,leɪɪngoʊnoʊfhændz
digitize,dɪdʒʌtaɪz
astragal,æstrʌgʌl
cultivator,kʌltɪveɪtɜ
seventy,sɛvʌnti
byelorussia,baɪʌloʊrʌʃʌ
harassed,hɜæst
thoroughness,θɜoʊnʌs
breakaxe,breɪkæks
interoceptive,ɪntɜoʊsɛptɪv
seventh,sɛvʌnθ
coyote,kaɪoʊti
oxyura jamaicensis,ɑksʌɜʌdʒɑmɑitʃɛnsʌs
liaise,lieɪz
bronchial tube,brɑntʃiʌltjub
baffin island,bæfɪnɪslʌnd
harasser,hɜæsɜ
reflex angle,riflɛksæɳgʌl
kuiper,kupɜ
oscilloscope,ɔsɪlʌskoʊp
pale-hued,pælɪhjud
beebread,bibrɛd
debility,dʌbɪlʌti
covering letter,kʌvɜɪɳlɛtɜ
premix,primɪks
uneventfully,ʌnivɛntfʌli
channel island,tʃænʌlʌslʌnd
moire,mɔɪr
lysinemia,laɪsinimiʌ
order piperales,ɔrdɜpaɪpɜɑlɛs
active trust,æktʌvtrʌst
premie,primi
fix-it shop,fɪksʌtʃɑp
castle in the air,kæsʌlɪnθɛr
genus mayetiola,dʒɛnjʌsmeɪtioʊlʌ
heliophila,hilioʊfilʌ
meadow spittlebug,mɛdoʊspɪtʌlbʌg
confoundedly,kʌnfaʊndɪdli
selenarctos,sʌlɛnɜktoʊz
triga,traɪgʌ
sour gum,saʊɜgʌm
french people,frɛntʃpipʌl
corypha utan,kɜɪfjutɑn
supply-side economics,sʌplaɪsɪdiɛkʌnɑmɪks
thoroughly,θɜoʊli
frog's-bit family,frɑgzbɪtfæmʌli
pore fungus,pɔrɪfʌɳgʌs
gleicheniaceae,glaɪkʌniɑtʃeɪɑ
television,tɛlʌvɪʒʌn
inconsiderateness,ɪnkʌnsɪdɜʌtnʌs
whirl around,wɜlɜaʊnd
desmodus,dɛzmʌdʌs
leichtlin's camas,laɪktlɪnskɑmʌz
comb-plate,koʊmpleɪt
genus notornis,dʒɛnjʌsnoʊtɜnɪs
popular music genre,pɑpjʌlɜmjuzʌkʒɑnrʌ
logistician,lʌdʒɪstɪʃʌn
gastronomic,gæstrʌnɑmɪk
latvian,lætviʌn
flier,flaɪɜ
flies,flaɪz
cherbourg,ʃɛrburg
stock power,stɑkpaʊɜ
blackish-red,blækɪʃrd
martes,mɑrtɛs
mollycoddler,mɑlikɑdʌlɜ
trial,traɪʌl
cylinder block,sɪlʌndɜblɑk
basenji,bʌsɛndʒi
dextrorotatory,dɛkstrʌroʊtʌtɔri
power breakfast,paʊɜbrɛkfʌst
rosehip,roʊzɪp
triad,traɪæd
duomo,dwoʊmoʊ
hermes,hɜmiz
thortveitite,θɔrtvitaɪt
moist,mɔɪst
gastronome,gæstroʊnoʊm
compartmentalisation,kʌmpɑrtmɛntʌlɪzeɪʃʌn
saxicolous plant,sæksɪkɑlʌsplænt
anticipatory,æntɪsʌpʌtɔri
associatory,ʌsoʊsiʌtɔri
surviving,sɜvaɪvɪɳ
gastronomy,gæstrɑnʌmi
anglia,æɳgliʌ
roman legion,roʊmænlidʒʌn
racer,reɪsɜ
tribe,traɪb
latona,lɑtoʊnʌ
job's tears,dʒɑbztirz
graciously,greɪʃʌsli
infatuated,ɪnfætʃueɪtɪd
supportive,sʌpɔrtɪv
bastard ridley,bæstɜdrɪdli
tsuga heterophylla,tsugʌhɛtɜʌfɪlʌ
trick,trɪk
acculturation,ʌkʌltʃɜeɪʃʌn
trice,traɪs
azote,æzɔti
birth prevention,bɜθprivɛnʃʌn
oafish,oʊfɪʃ
flick,flɪk
vena lumbalis,vɛnʌlʌmbʌlɪs
megalobatrachus,mɛgʌloʊbʌtrætʃʌs
air division,ɛrdɪvɪʒʌn
raincoat,reɪnkoʊt
twinning,twɪnɪɳ
vesicula umbilicus,vɛzɪkjʌlaʊmbɪlʌkʌs
anarchistic,ænɜkɪstɪk
sesamoid bone,sɛsʌmɔɪdboʊn
acidulent,ʌsɪdʒʌlʌnt
cervus,sɛrvʌs
rhythmicity,rɪðmʌsʌti
container ship,kʌnteɪnɜʃɪp
martin,mɑrtɪn
chord,kɔrd
bulging,bʌldʒɪɳ
chore,tʃɔr
appetite,æpʌtaɪt
ranch house,ræɳkhaʊs
elasmobranchii,ɪlæsmoʊbrɑnkiaɪ
amaurotic,æmɔrɑtɪk
phonation,fʌneɪʃʌn
spanish capital,spænɪʃkæpɪtʌl
buff-brown,bʌfbraʊn
duple,dupʌl
amaurosis,æmɔroʊsʌs
wake-up signal,weɪkʌpsɪgnʌl
thalweg,θælwɪg
roomer,rumɜ
caley pea,keɪlipiʌ
health care delivery,hɛlθkɛrdɪlɪvɜi
pelvic girdle,pɛlvɪkgɜdʌl
dutchman's breeches,dʌtʃmʌnɛnzbritʃɪz
holy roller,hoʊliroʊlɜ
rabid,ræbɪd
reproachfully,riproʊtʃfʌli
eastern roman empire,istɜnroʊmænɪmpaɪɜ
roach holder,roʊtʃhoʊldɜ
tour of duty,tʊrʌfduti
anthoceros,ænθɑsɜʌs
cephalotaxaceae,sɛfʌlʌtæksʌseɪɑ
blitzstein,blɪtstaɪn
hereditary motor and sensory neuropathy,hɜɛdʌtɛrimoʊtɜændsɛnsɜinjʊroʊpæθi
encompass,ɛnkʌmpʌs
stem lettuce,stɛmlɛtʌs
leucanthemum maximum,lukænθʌmʌmæksʌmʌm
dreaminess,driminʌs
myxoma virus,mɪksoʊmʌvaɪrʌs
